source,city,station,year,pull_date_utc,sha256,n_rows,notes
aurn,sheffield,SHDG,2019,2026-05-24T07:30:01Z,79ba7633ba8668ca7cb541e2628e4228db0929f1e605b461cf38e9c3d53b3733,,reference-grade ug/m3
aurn,sheffield,SHDG,2020,2026-05-24T07:30:01Z,d469fdf2931ded5ce774ddd28009349c633efa341e4af2fd12273ffe38204332,,reference-grade ug/m3
aurn,sheffield,SHDG,2021,2026-05-24T07:30:01Z,f2ebe01d00a918547dfc297363fc199624410d939eb901017766062a3d9967c6,,reference-grade ug/m3
aurn,sheffield,SHDG,2022,2026-05-24T07:30:01Z,1b0c6def45a1e91f304025b6215521fc5cf51c8674a80c5d6b9af7be4aa63524,,reference-grade ug/m3
aurn,sheffield,SHDG,2023,2026-05-24T07:30:01Z,a60429e393d4bf1e271ccf1f673b26d035300dec1f874b3d70dce9f5cec7a1af,,reference-grade ug/m3
aurn,sheffield,SHDG,2024,2026-05-24T07:30:01Z,28a07113e124980e4c2422f42adca2d32d22241defb1d8c683b2ed8341850f50,,reference-grade ug/m3
aurn,london,MY1,2019,2026-05-24T07:36:26Z,eed1fa68f494e36191c549b34690d2a94a70b29a025c6261ae48cdfaa2308573,,reference-grade ug/m3
aurn,london,MY1,2020,2026-05-24T07:36:26Z,3683ef65479a7e001e1eb362fb2c7ae369724455c1cfb6e1b853bf5cae70d815,,reference-grade ug/m3
aurn,london,MY1,2021,2026-05-24T07:36:26Z,6112a9b7176567e499c737e9eb7d26d1c4a1209bc340c30d0743e323648466e9,,reference-grade ug/m3
aurn,london,MY1,2022,2026-05-24T07:36:26Z,a10c6b00760498722670af5b7a5f031eac74337f4cb42b0f5a0b48afebc81662,,reference-grade ug/m3
aurn,london,MY1,2023,2026-05-24T07:36:26Z,a2b6b8c80451d3c97a40f533bfe919fe9196167e470cf8337179c49cde4be1ac,,reference-grade ug/m3
aurn,london,MY1,2024,2026-05-24T07:36:26Z,d21509b193537f8fc040e4a0fa5274fee4f9e61830b499229c92ab2d95db95a9,,reference-grade ug/m3
aurn,sheffield,SHBR,2019,2026-05-24T08:19:39Z,85555e9dbe19780880881f4935ce4c2bc3fe07624cc374e73bb32a36903be193,,reference-grade ug/m3
aurn,sheffield,SHBR,2020,2026-05-24T08:19:39Z,1669d61e08f25470b82f41bdc40221f8ddad03e122d1fee487cc669e5611ed2a,,reference-grade ug/m3
aurn,sheffield,SHBR,2021,2026-05-24T08:19:39Z,1316e1278c246a0976841f65dcc8a9202727bc3842171f58179f9bd2b0314b43,,reference-grade ug/m3
aurn,sheffield,SHBR,2022,2026-05-24T08:19:39Z,8d0f02f609299bd09d5c35f34320af7e52e8e918e338613e961581a73b73d415,,reference-grade ug/m3
aurn,sheffield,SHBR,2023,2026-05-24T08:19:39Z,9ceaf3d183b4b56f7c4d3e0b8e04cda7cccc0b3aa504d5fbeeff94d81d5f5f2a,,reference-grade ug/m3
aurn,sheffield,SHBR,2024,2026-05-24T08:19:39Z,0c5f47b9f875bce0f7c01d49bd7ce7875a2c9573388883ab9f9650121694e940,,reference-grade ug/m3
aurn,london,KC1,2019,2026-05-24T08:19:44Z,e945e08c512f6cd14ec4e2a36db68e154988ab9d79924402b1f4e43681eacbf8,,reference-grade ug/m3
aurn,london,KC1,2020,2026-05-24T08:19:44Z,faba0c3c6d08baf288df0d154e1cfc8845eb42edb44adc10b114103d234d25f6,,reference-grade ug/m3
aurn,london,KC1,2021,2026-05-24T08:19:44Z,30643b08ea1d2d8e7eaee2037e6f86bea72a3f142418f70dc7beff8b9a149356,,reference-grade ug/m3
aurn,london,KC1,2022,2026-05-24T08:19:44Z,7edc417a5ea146d11552606a62c39ce2fa4498c4a81c91bb4895913763244086,,reference-grade ug/m3
aurn,london,KC1,2023,2026-05-24T08:19:44Z,a8eb856a02b57b67c771dc16126a49634489ff5cce3db215980ef0b01c8fd22c,,reference-grade ug/m3
aurn,london,KC1,2024,2026-05-24T08:19:44Z,91c0d634b4ecc12a63285352ae2d8fd607cb651b75434989349cc64a5607a128,,reference-grade ug/m3
aurn,birmingham,BMLD,2019,2026-05-24T08:19:49Z,44680d6394ded6104ab90235ca7b01870a571c4e0abf9d9890682da8d54e9031,,reference-grade ug/m3
aurn,birmingham,BMLD,2020,2026-05-24T08:19:49Z,d816668d8a717533ebc109fd4cf956e986d134b6bf07f61fc04f7741c848c4c6,,reference-grade ug/m3
aurn,birmingham,BMLD,2021,2026-05-24T08:19:49Z,57b34af182a36c9716a6a2aca245b9db0470cab4268cdf214e8badc111cfae5d,,reference-grade ug/m3
aurn,birmingham,BMLD,2022,2026-05-24T08:19:49Z,6667b816605629535c04f5ada265a4fa696b0645c006c063241993bccc2369e2,,reference-grade ug/m3
