pollutant,model,mae,mae_lo,mae_hi,td_mae,td_lo,td_hi
NO2,persistence,10.98,10.391,11.622,24.287,22.075,26.599
NO2,seasonal_naive_24h,11.89,11.378,12.431,20.644,19.191,22.162
NO2,seasonal_naive_168h,12.509,11.946,13.152,28.531,26.483,30.9
NO2,linear_no_oracle,9.254,8.862,9.676,26.637,25.366,27.993
NO2,linear_oracle,8.259,7.949,8.592,18.266,16.85,19.769
NO2,chronos_bolt_base,8.491,8.103,8.938,23.206,21.627,24.863
NO2,timesfm_2_wx,7.551,7.186,7.936,21.292,19.927,22.775
NO2,moirai_1_1_zeroshot,9.337,8.905,9.804,19.904,18.328,21.542
NO2,moirai_1_1_wx,9.761,9.309,10.244,19.606,17.983,21.26
NO2,xgboost_no_oracle,8.396,8.034,8.766,20.857,19.492,22.25
NO2,xgboost,5.975,5.704,6.256,14.302,13.02,15.644
PM2.5,persistence,4.351,3.929,4.878,8.749,7.558,10.165
PM2.5,seasonal_naive_24h,4.353,4.112,4.594,9.177,8.381,10.066
PM2.5,seasonal_naive_168h,5.805,5.41,6.201,13.421,12.376,14.511
PM2.5,linear_no_oracle,4.078,3.847,4.318,11.08,10.352,11.851
PM2.5,linear_oracle,4.25,4.036,4.47,9.11,8.408,9.886
PM2.5,chronos_bolt_base,3.296,3.102,3.502,8.818,7.952,9.721
PM2.5,timesfm_2_wx,3.14,2.948,3.341,8.425,7.658,9.264
PM2.5,moirai_1_1_zeroshot,3.619,3.381,3.866,8.368,7.503,9.339
PM2.5,moirai_1_1_wx,3.708,3.47,3.958,8.101,7.27,9.033
PM2.5,xgboost_no_oracle,3.593,3.395,3.805,7.883,7.221,8.691
PM2.5,xgboost,3.25,3.044,3.477,8.719,7.901,9.662
